 city_id,  city_name,  country_code,  lat,  lon,  cloudness,  wind_speed,  Max_temperature,  humidity,  date   
 3533462,  Acapulco,  MX,                  16.86,  -99.88,                    5,  9.17,  84.2,                66,  1545511560   
 3370903,  Jamestown,  SH,                  -15.94,  -5.72,                    92,  13.65,  71.09,                100,  1545515723   
 6165406,  Thompson,  CA,                  55.74,  -97.86,                    90,  10.29,  3.2,                71,  1545512400   
 2163355,  Hobart,  AU,                  -42.88,  147.33,                    75,  12.75,  62.6,                51,  1545514200   
 2137773,  Vao,  NC,                  -22.67,  167.48,                    48,  11.63,  77.75,                98,  1545515988   
 1703912,  Magdalena,  PH,                  14.2,  121.43,                    75,  11.41,  78.8,                88,  1545512400   
 1175012,  Kandiari,  PK,                  26.92,  68.52,                    0,  4.59,  48.37,                83,  1545515993   
 3591885,  Pajapita,  GT,                  14.72,  -92.03,                    20,  6.93,  89.6,                49,  1545512400   
 4252975,  Barrow,  US,                  39.51,  -90.4,                    1,  11.41,  51.98,                65,  1545514500   
 1053384,  Toamasina,  MG,                  -18.17,  49.38,                    75,  1.9,  78.8,                83,  1545512400   
 3522696,  Nogales,  MX,                  18.82,  -97.16,                    0,  2.68,  66.86,                42,  1545516008   
 6185377,  Yellowknife,  CA,                  62.45,  -114.38,                    90,  4.7,  -0.41,                84,  1545512400   
 241131,  Victoria,  SC,                  -4.62,  55.45,                    92,  5.82,  80.6,                78,  1545512400   
 2121385,  Severo-Kurilsk,  RU,                  50.68,  156.12,                    0,  4.36,  23.35,                100,  1545515446   
 5924351,  Clyde  River,  CA,                  70.47,  -68.59,                    40,  12.75,  -16.61,                68,  1545512400   
 964420,  Port  Elizabeth,  ZA,                  -33.92,  25.57,                    80,  4.25,  71.27,                94,  1545515471   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 6320062,  Vila  Velha,  BR,                  -3.71,  -38.6,                    0,  9.17,  82.4,                74,  1545512400   
 2017155,  Saskylakh,  RU,                  71.97,  114.09,                    36,  8.39,  -38.35,                79,  1545516027   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3424607,  Tasiilaq,  GL,                  65.61,  -37.64,                    32,  2.24,  24.8,                85,  1545511800   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 3370903,  Jamestown,  SH,                  -15.94,  -5.72,                    92,  13.65,  71.09,                100,  1545515723   
 257827,  Mantamados,  GR,                  39.31,  26.33,                    75,  3.36,  42.8,                93,  1545511800   
 3136690,  Stokmarknes,  NO,                  68.56,  14.91,                    88,  10.18,  30.28,                100,  1545516042   
 2062276,  Roebourne,  AU,                  -20.77,  117.15,                    0,  11.97,  75.73,                57,  1545516044   
 2656955,  Ashford,  GB,                  51.15,  0.87,                    44,  12.75,  48.2,                93,  1545515400   
 2015306,  Tiksi,  RU,                  71.64,  128.87,                    0,  10.4,  -32.37,                56,  1545515808   
 3443061,  Chuy,  UY,                  -33.69,  -53.46,                    88,  10.74,  68.8,                97,  1545515528   
 2138555,  Poum,  NC,                  -20.23,  164.02,                    20,  2.8,  79.69,                100,  1545515752   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 546105,  Nikolskoye,  RU,                  59.7,  30.79,                    75,  8.95,  15.8,                92,  1545514200   
 1015776,  Bredasdorp,  ZA,                  -34.53,  20.04,                    0,  1.12,  71.6,                83,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 2138285,  Tadine,  NC,                  -21.55,  167.88,                    64,  8.39,  79.19,                97,  1545516062   
 4035715,  Avarua,  CK,                  -21.21,  -159.78,                    75,  11.41,  84.2,                74,  1545512400   
 1715015,  Dicabisagan,  PH,                  17.08,  122.42,                    92,  8.72,  72.22,                100,  1545516067   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
